"StateAbbr","Location.ID","Location","Value","Rank","Anomaly..1901.2000.base.period.","X1901.2000.Mean","StateDesc","County"
"CO","CO-051","Gunnison County",37.5583,76,0.4553,37.1,"Colorado","Gunnison County"
"CO","CO-001","Adams County",48.6583,61,0.1541,48.5,"Colorado","Adams County"
"CO","CO-003","Alamosa County",42.2667,77,0.4813,41.8,"Colorado","Alamosa County"
"CO","CO-005","Arapahoe County",48.0833,53,-0.1471,48.2,"Colorado","Arapahoe County"
"CO","CO-007","Archuleta County",43.4917,93,0.8921,42.6,"Colorado","Archuleta County"
"CO","CO-009","Baca County",52.8833,49,-0.3022,53.2,"Colorado","Baca County"
"CO","CO-011","Bent County",53.2583,84,0.5568,52.7,"Colorado","Bent County"
"CO","CO-013","Boulder County",44.4083,82,0.5984,43.8,"Colorado","Boulder County"
"CO","CO-014","Broomfield County",50.05,72,0.4288,49.6,"Colorado","Broomfield County"
"CO","CO-015","Chaffee County",37.425,58,-0.0023,37.4,"Colorado","Chaffee County"
"CO","CO-017","Cheyenne County",50.45,54,-0.0671,50.5,"Colorado","Cheyenne County"
"CO","CO-099","Prowers County",53.0167,54,-0.0135,53,"Colorado","Prowers County"
"CO","CO-101","Pueblo County",52.3167,95,1.0107,51.3,"Colorado","Pueblo County"
"CO","CO-103","Rio Blanco County",43.7,85,0.9802,42.7,"Colorado","Rio Blanco County"
"CO","CO-105","Rio Grande County",39.2917,86,0.8403,38.5,"Colorado","Rio Grande County"
"CO","CO-107","Routt County",39.3583,87,0.8484,38.5,"Colorado","Routt County"
"CO","CO-109","Saguache County",38.5333,59,0.0607,38.5,"Colorado","Saguache County"
"CO","CO-111","San Juan County",35.1167,104,1.8049,33.3,"Colorado","San Juan County"
"CO","CO-113","San Miguel County",44.5667,95,1.4742,43.1,"Colorado","San Miguel County"
"CO","CO-115","Sedgwick County",48.0583,25,-0.9748,49,"Colorado","Sedgwick County"
"CO","CO-117","Summit County",35.6083,92,0.8863,34.7,"Colorado","Summit County"
"CO","CO-119","Teller County",39.8083,69,0.1571,39.7,"Colorado","Teller County"
"CO","CO-121","Washington County",49.0917,69,0.38,48.7,"Colorado","Washington County"
"CO","CO-123","Weld County",47.45,56,-0.0317,47.5,"Colorado","Weld County"
"CO","CO-125","Yuma County",50.0417,69,0.2766,49.8,"Colorado","Yuma County"
"CO","CO-073","Lincoln County",49.225,75,0.3957,48.8,"Colorado","Lincoln County"
