Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-097,Mobile County,68.8167,128,2.3769,66.4
AL-099,Monroe County,67.95,128,2.8242,65.1
AL-101,Montgomery County,67.2,126,2.7503,64.4
AL-103,Morgan County,62.6,126,2.382,60.2
AL-105,Perry County,65.825,126,2.2408,63.6
AL-107,Pickens County,64.8917,117,1.8098,63.1
AL-109,Pike County,66.8333,123,2.1882,64.6
AL-111,Randolph County,63.1917,127,2.7222,60.5
AL-113,Russell County,66.4583,127,2.2592,64.2
AL-115,St. Clair County,63.9583,126,2.8144,61.1
AL-117,Shelby County,64.525,125,2.4854,62
AL-119,Sumter County,65.625,118,1.5949,64
AL-121,Talladega County,64.2833,125,2.5159,61.8
AL-123,Tallapoosa County,64.4333,126,2.2918,62.1
AL-125,Tuscaloosa County,64.825,119,1.78,63
AL-127,Walker County,63.675,123,2.0565,61.6
AL-129,Washington County,67.1333,120,1.7676,65.4
AL-131,Wilcox County,67.35,128,2.6423,64.7
AL-133,Winston County,62,121,1.7678,60.2
AZ-001,Apache County,50.4583,90,0.7057,49.8
AZ-003,Cochise County,61.125,90,0.7813,60.3
AZ-005,Coconino County,52.5417,85,0.7942,51.7
AZ-007,Gila County,59.8333,99,1.3017,58.5
AZ-009,Graham County,61.2583,96,1.0236,60.2
AZ-011,Greenlee County,57.025,106,1.2721,55.8
AZ-012,La Paz County,70.975,83,0.6849,70.3
AZ-013,Maricopa County,70.525,93,1.3627,69.2
AZ-015,Mohave County,61.825,79,0.4407,61.4
AZ-017,Navajo County,51.975,93,0.8082,51.2
AZ-019,Pima County,67.6167,92,1.0825,66.5
AZ-021,Pinal County,68.9333,97,1.2688,67.7
AZ-023,Santa Cruz County,60.3333,76,0.4292,59.9
AZ-025,Yavapai County,59.2583,92,1.015,58.2
AZ-027,Yuma County,72.15,92,1.2491,70.9
AR-001,Arkansas County,63.3667,106,1.2312,62.1
AR-003,Ashley County,65.0667,120,1.9014,63.2
AR-005,Baxter County,57.7,81,0.5916,57.1
AR-007,Benton County,58.0167,86,0.726,57.3
AR-009,Boone County,57.2667,79,0.4547,56.8
AR-011,Bradley County,64.3083,118,1.6118,62.7
AR-013,Calhoun County,63.5,95,0.7678,62.7
AR-015,Carroll County,57.4333,81,0.5325,56.9
AR-017,Chicot County,64.7083,105,1.1876,63.5
AR-019,Clark County,62.9,94,0.799,62.1
AR-021,Clay County,59.5083,90,0.8011,58.7
AR-023,Cleburne County,59.5417,86,0.676,58.9
AR-025,Cleveland County,62.9667,94,0.6534,62.3
AR-027,Columbia County,63.6667,80,0.3162,63.4
AR-029,Conway County,60.925,90,0.7311,60.2
AR-031,Craighead County,60.5,101,1.0546,59.4
AR-033,Crawford County,59.9417,84,0.6367,59.3
AR-035,Crittenden County,62.575,105,1.3239,61.3
AR-037,Cross County,61.875,103,1.0873,60.8
AR-039,Dallas County,62.6917,82,0.4573,62.2
AR-041,Desha County,63.9417,108,1.2166,62.7
AR-043,Drew County,64.2167,114,1.4618,62.8
AR-045,Faulkner County,61.0667,84,0.5498,60.5
AR-047,Franklin County,59.6917,81,0.4563,59.2
AR-049,Fulton County,57.775,98,1.228,56.5
AR-051,Garland County,61.6833,97,0.9206,60.8
AR-053,Grant County,62.425,75,0.3657,62.1
AR-055,Greene County,59.85,92,0.8825,59
AR-057,Hempstead County,62.9083,82,0.3678,62.5
AR-059,Hot Spring County,62.3917,88,0.6645,61.7
AR-061,Howard County,61.8,89,0.5453,61.3
AR-063,Independence County,59.5417,93,0.797,58.7
AR-065,Izard County,57.9917,84,0.5227,57.5
AR-067,Jackson County,60.3667,94,0.8072,59.6
AR-069,Jefferson County,62.7167,84,0.5703,62.1
AR-071,Johnson County,59.1083,83,0.4986,58.6
AR-073,Lafayette County,63.9917,89,0.515,63.5
AR-075,Lawrence County,59.3667,88,0.6746,58.7
AR-077,Lee County,62.7667,106,1.2068,61.6
AR-079,Lincoln County,63.4917,103,1.0708,62.4
AR-081,Little River County,63.3833,97,0.7954,62.6
AR-083,Logan County,60.675,84,0.5176,60.2
AR-085,Lonoke County,62.25,91,0.6903,61.6
AR-087,Madison County,56.9417,78,0.4788,56.5
AR-089,Marion County,57.5083,74,0.4231,57.1
AR-091,Miller County,64.15,94,0.5905,63.6
AR-093,Mississippi County,61.5333,107,1.3925,60.1
AR-095,Monroe County,62.775,105,1.1176,61.7
AR-097,Montgomery County,61.0917,96,0.9517,60.1
AR-099,Nevada County,63.1083,84,0.3884,62.7
AR-101,Newton County,56.825,76,0.4122,56.4
AR-103,Ouachita County,63.15,73,0.1265,63
AR-105,Perry County,61.4917,90,0.7308,60.8
AR-107,Phillips County,63.275,112,1.3535,61.9
AR-109,Pike County,61.7,88,0.5351,61.2
AR-111,Poinsett County,61.1667,101,1.0836,60.1
AR-113,Polk County,60.1167,90,0.8203,59.3
AR-115,Pope County,59.65,81,0.5712,59.1
AR-117,Prairie County,62.3167,94,0.7575,61.6
AR-119,Pulaski County,61.7917,74,0.3487,61.4
AR-121,Randolph County,58.9083,92,0.8763,58
AR-123,St. Francis County,62.425,104,1.158,61.3
AR-125,Saline County,61.675,83,0.4788,61.2
AR-127,Scott County,60.575,94,0.8368,59.7
AR-129,Searcy County,57.4083,74,0.3819,57
AR-131,Sebastian County,61.25,90,0.9059,60.3
AR-133,Sevier County,62.5917,97,0.9409,61.7
AR-135,Sharp County,58.4083,92,0.9822,57.4
AR-137,Stone County,58.0833,78,0.4183,57.7
AR-139,Union County,64.4417,108,1.2037,63.2
AR-141,Van Buren County,58.75,85,0.5536,58.2
AR-143,Washington County,57.8667,84,0.5417,57.3
AR-145,White County,61.4,101,1.0678,60.3
AR-147,Woodruff County,61.5583,97,0.7768,60.8
AR-149,Yell County,61.1583,88,0.6287,60.5
CA-001,Alameda County,59.6833,116,1.7978,57.9
CA-003,Alpine County,43.4667,73,0.1854,43.3
CA-005,Amador County,57.8083,87,0.5779,57.2
